session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status,Vision
6218f10151af6edb77eb865a,60e7218db2691424068d718c,RETURNED,2022-02-25 15:08:49.046000,,246132.602524,29,96,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6218f105239770493e3f3ec0,5efb2d098c96a40459575a3f,RETURNED,2022-02-25 15:08:53.449000,,246128.226787,20,220,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6218f108b92b0d458c2cd5e3,5f6771df8c217137e3d1eae0,TIMED-OUT,2022-02-25 15:08:56.215000,,246125.479436,24,43,0,100,,,Greece,Greece,DATA EXPIRED,Greek,"English, Greek",Greece,Male,DATA EXPIRED,Yes
6218f109dda3d39f276cd0f6,602fd1404ad77ad51739ffc6,AWAITING REVIEW,2022-02-25 15:16:11.992000,2022-02-25 15:39:31.975000,1399.983,20,93,0,100,,4A0A6BF5,Poland,Poland,Unemployed (and job seeking),Polish,"English, Polish",Poland,Male,Yes,Yes
6218f1149af564010791e68a,5ff9f54ed071dd35faf63f49,AWAITING REVIEW,2022-02-25 15:09:49.781000,2022-02-25 15:30:19.410000,1229.629,19,81,1,100,,4A0A6BF5,Italy,Italy,Part-Time,Italian,"Italian, English",Italy,Male,Yes,Yes
6218f11c249fe28959dcc3ff,5f40c462ff2ee620d5bc5acd,AWAITING REVIEW,2022-02-25 15:09:39.753000,2022-02-25 15:34:51.007000,1511.254,29,110,1,100,,4A0A6BF5,Mexico,Mexico,Full-Time,Spanish,"English, Spanish",Mexico,Male,No,Yes
6218f11c452559e96e0ff3be,5e98b398e4a84f0eb3755e51,RETURNED,2022-02-25 15:09:16.406000,,246105.385002,26,238,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6218f1212b40ed1f55bb96b1,5ed02ffb8090240f93ab74ad,AWAITING REVIEW,2022-02-25 15:09:21.616000,2022-02-25 15:28:04.768000,1123.152,22,220,1,100,,4A0A6BF5,Spain,Spain,Other,Spanish,"English, Spanish",Spain,Female,Yes,Yes
6218f12218000ae11503122b,5bea9d9805619d0001072057,AWAITING REVIEW,2022-02-25 15:09:22.154000,2022-02-25 16:02:41.105000,3198.951,44,641,1,100,,4A0A6BF5,Netherlands,Netherlands,DATA EXPIRED,Dutch,"Dutch, English",Netherlands,Male,DATA EXPIRED,Yes
6218f12d37809a74c4b74662,5f5a6f4dc6a95e1365660a40,AWAITING REVIEW,2022-02-25 15:09:33.185000,2022-02-25 15:47:20.186000,2267.001,21,65,0,100,,4A0A6BF5,United Kingdom,Poland,Due to start a new job within the next month,Polish,"English, Polish",United Kingdom,Male,No,Yes
6218f131a0744a84a1f84baa,5f268fa8c6f13f3d7f6b689a,RETURNED,2022-02-25 15:09:37.399000,2022-02-25 15:40:10.130000,1832.731,34,152,0,100,,4A0A6BF5,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6218f131abf0b411aa19853e,60f9dd5faf4ea95d78c24127,AWAITING REVIEW,2022-02-25 15:09:43.430000,2022-02-25 15:24:55.458000,912.028,24,30,0,100,,4A0A6BF5,Spain,Spain,Unemployed (and job seeking),Spanish,"Spanish, English",Spain,Male,No,Yes
6218f13239bb9077d8d7482c,5c6eb542045a21000126ab53,AWAITING REVIEW,2022-02-25 15:09:44.892000,2022-02-25 15:34:08.737000,1463.845,43,294,2,100,,4A0A6BF5,France,Spain,"Not in paid work (e.g. homemaker', 'retired or disabled)",Dutch,"English, Dutch, German",Netherlands,Female,No,Yes
6218f133427db2847f86c55b,60185c812e31c90cbd82f28c,RETURNED,2022-02-25 15:09:39.202000,,246082.762211,21,117,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6218f1374df379801c65ed26,5f4d50ea11a0409f3b8db045,AWAITING REVIEW,2022-02-25 15:12:07.808000,2022-02-25 15:58:58.833000,2811.025,21,52,0,100,,4A0A6BF5,Mexico,Mexico,Part-Time,Spanish,"English, Spanish",Mexico,Female,Yes,Yes
6218f1408b2c2bcac171bf74,5ea9ee97ae93691692c125c6,AWAITING REVIEW,2022-02-25 15:09:52.216000,2022-02-25 15:29:37.150000,1184.934,36,161,2,100,,4A0A6BF5,Portugal,Portugal,Full-Time,Portuguese,"Portuguese, English",Portugal,Male,No,Yes
6218f141b2c5e337e4228bb5,60c495fc70e8863a8a8bfa7a,AWAITING REVIEW,2022-02-25 15:09:53.851000,2022-02-25 15:50:18.304000,2424.453,23,105,1,100,,4A0A6BF5,South Africa,South Africa,Unemployed (and job seeking),English,English,South Africa,Female,No,Yes
